Date,Country,City,Specie,count,min,max,median,variance,,,,,,,,
02-02-2019,IN,Kolkata,pressure,120,1012,1016,1014,13.89,,,,,,,,
23-01-2019,IN,Kolkata,pressure,120,1013,1017,1015,10.73,,,,,,,,
19-03-2019,IN,Kolkata,pressure,120,1007,1012,1009.5,21.43,,,,,,,,
20-03-2019,IN,Kolkata,pressure,120,1008,1012,1009,17.1,,,,,,,,
29-03-2019,IN,Kolkata,pressure,120,1006,1012,1008.5,28.59,,,,,,,,
25-03-2019,IN,Kolkata,pressure,96,1008,1012,1010,18.3,,,,,,,,
07-01-2019,IN,Kolkata,pressure,120,1012,1016.5,1013,17.64,,,,,,,,
22-01-2019,IN,Kolkata,pressure,120,1013,1018,1015,14.43,,,,,,,,
24-01-2019,IN,Kolkata,pressure,120,1014,1018,1015,12.92,,,,,,,,
28-01-2019,IN,Kolkata,pressure,120,1015,1019,1016,18.21,,,,,,,,
12-02-2019,IN,Kolkata,pressure,120,1017,1020,1018,12.52,,,,,,,,
08-03-2019,IN,Kolkata,pressure,120,1010,1015,1011.5,22.69,,,,,,,,
13-03-2019,IN,Kolkata,pressure,120,1010,1014,1012,16.9,,,,,,,,
10-02-2019,IN,Kolkata,pressure,120,1016,1020,1018,17.72,,,,,,,,
31-12-2018,IN,Kolkata,pressure,120,1016,1020,1017.5,12.66,,,,,,,,
06-01-2019,IN,Kolkata,pressure,120,1014,1018,1015,12.47,,,,,,,,
11-01-2019,IN,Kolkata,pressure,120,1014,1019,1015.5,20.22,,,,,,,,
16-01-2019,IN,Kolkata,pressure,120,1014,1019,1016,25.36,,,,,,,,
26-01-2019,IN,Kolkata,pressure,120,1014,1019,1016,14.06,,,,,,,,
29-01-2019,IN,Kolkata,pressure,120,1015,1018,1016,11.66,,,,,,,,
08-02-2019,IN,Kolkata,pressure,119,1012,1026.6,1014,40.72,,,,,,,,
01-03-2019,IN,Kolkata,pressure,120,1012,1017,1014,22.81,,,,,,,,
02-03-2019,IN,Kolkata,pressure,120,1012,1017,1013,24.8,,,,,,,,
12-03-2019,IN,Kolkata,pressure,120,1009,1015,1011.5,25.57,,,,,,,,
21-01-2019,IN,Kolkata,pressure,120,1013,1017.5,1015,14.46,,,,,,,,
30-01-2019,IN,Kolkata,pressure,120,1016,1021,1018,16.89,,,,,,,,
26-03-2019,IN,Kolkata,pressure,119,1009,1013.5,1011,16.27,,,,,,,,
13-01-2019,IN,Kolkata,pressure,120,1013,1019,1015,20.88,,,,,,,,
23-02-2019,IN,Kolkata,pressure,120,1007,1012,1009.5,17.73,,,,,,,,
04-03-2019,IN,Kolkata,pressure,120,1005,1011,1008,30.43,,,,,,,,
16-03-2019,IN,Kolkata,pressure,120,1011,1016.5,1012,30.95,,,,,,,,
27-03-2019,IN,Kolkata,pressure,120,1010,1015,1013,19.78,,,,,,,,
10-01-2019,IN,Kolkata,pressure,120,1014,1017.5,1015,14.34,,,,,,,,
19-01-2019,IN,Kolkata,pressure,120,1013,1018,1015,17.97,,,,,,,,
27-02-2019,IN,Kolkata,pressure,120,1006.5,1012,1009,22.55,,,,,,,,
30-03-2019,IN,Kolkata,pressure,120,1005,1009.5,1007,19.18,,,,,,,,
07-02-2019,IN,Kolkata,pressure,120,1011,1016,1013.5,16.81,,,,,,,,
09-02-2019,IN,Kolkata,pressure,120,1012,1017,1014,24.25,,,,,,,,
22-02-2019,IN,Kolkata,pressure,120,1009,1015,1012,31.03,,,,,,,,
25-02-2019,IN,Kolkata,pressure,120,1008,1014,1010,32.13,,,,,,,,
28-02-2019,IN,Kolkata,pressure,120,1009,1013,1011,18.85,,,,,,,,
03-03-2019,IN,Kolkata,pressure,120,1008,1014,1011,35.28,,,,,,,,
04-01-2019,IN,Kolkata,pressure,120,1017,1021,1018.5,14.32,,,,,,,,
18-01-2019,IN,Kolkata,pressure,120,1012,1017,1014,20.46,,,,,,,,
19-02-2019,IN,Kolkata,pressure,120,1010,1016,1012.5,29.24,,,,,,,,
14-03-2019,IN,Kolkata,pressure,120,1010,1016,1012.5,33.84,,,,,,,,
15-01-2019,IN,Kolkata,pressure,120,1013,1019,1015,27.53,,,,,,,,
17-01-2019,IN,Kolkata,pressure,120,1012,1016.5,1014,16.14,,,,,,,,
20-01-2019,IN,Kolkata,pressure,120,1013,1018,1015,22.73,,,,,,,,
26-02-2019,IN,Kolkata,pressure,120,1008,1013,1010,15.88,,,,,,,,
15-03-2019,IN,Kolkata,pressure,120,1010,1016,1014,23.9,,,,,,,,
02-01-2019,IN,Kolkata,pressure,120,1015,1021,1018,18.68,,,,,,,,
25-01-2019,IN,Kolkata,pressure,120,1014,1018,1016,14.64,,,,,,,,
16-02-2019,IN,Kolkata,pressure,120,1011,1018,1014,57.37,,,,,,,,
20-02-2019,IN,Kolkata,pressure,120,1013,1017,1014.5,19.68,,,,,,,,
05-03-2019,IN,Kolkata,pressure,120,1004,1012.5,1006.5,33.36,,,,,,,,
18-03-2019,IN,Kolkata,pressure,120,1009,1016,1012,37.67,,,,,,,,
21-03-2019,IN,Kolkata,pressure,120,1008,1013,1010,19.73,,,,,,,,
03-01-2019,IN,Kolkata,pressure,120,1017,1021,1018,14.61,,,,,,,,
27-01-2019,IN,Kolkata,pressure,120,1015,1019,1016,15.7,,,,,,,,
17-02-2019,IN,Kolkata,pressure,120,1008,1014,1010,29.66,,,,,,,,
24-02-2019,IN,Kolkata,pressure,120,1007.5,1013,1010,24.06,,,,,,,,
07-03-2019,IN,Kolkata,pressure,120,1008.5,1013,1010.5,17.85,,,,,,,,
17-03-2019,IN,Kolkata,pressure,120,1010,1017,1012.5,40.63,,,,,,,,
23-03-2019,IN,Kolkata,pressure,96,1007.5,1012,1009.5,18.37,,,,,,,,
10-03-2019,IN,Kolkata,pressure,120,1009.5,1014,1011,19.89,,,,,,,,
01-01-2019,IN,Kolkata,pressure,116,1016,1021,1018,21.31,,,,,,,,
09-01-2019,IN,Kolkata,pressure,120,1013,1017,1014,15.57,,,,,,,,
31-01-2019,IN,Kolkata,pressure,120,1015,1019,1017,15.64,,,,,,,,
05-02-2019,IN,Kolkata,pressure,119,1013,1030.3,1016,76.77,,,,,,,,
11-02-2019,IN,Kolkata,pressure,120,1016,1020.5,1017.5,16.33,,,,,,,,
06-03-2019,IN,Kolkata,pressure,120,1006,1011,1008,16.5,,,,,,,,
09-03-2019,IN,Kolkata,pressure,120,1010,1014.5,1011,18.82,,,,,,,,
24-03-2019,IN,Kolkata,pressure,96,1008,1013,1010,19.72,,,,,,,,
12-01-2019,IN,Kolkata,pressure,120,1014,1019,1015,18.14,,,,,,,,
14-01-2019,IN,Kolkata,pressure,120,1012,1016,1014,11.42,,,,,,,,
01-02-2019,IN,Kolkata,pressure,120,1013,1018,1015,19.53,,,,,,,,
06-02-2019,IN,Kolkata,pressure,120,1011,1025.3,1013,26.23,,,,,,,,
13-02-2019,IN,Kolkata,pressure,120,1015,1021,1018,34.98,,,,,,,,
18-02-2019,IN,Kolkata,pressure,120,1009,1014,1010.5,19.74,,,,,,,,
11-03-2019,IN,Kolkata,pressure,120,1010,1015,1012,16.86,,,,,,,,
31-03-2019,IN,Kolkata,pressure,115,1003,1009,1007,29.35,,,,,,,,
08-01-2019,IN,Kolkata,pressure,120,1011,1015,1013,14.79,,,,,,,,
03-02-2019,IN,Kolkata,pressure,120,1014,1019,1016,19.41,,,,,,,,
04-02-2019,IN,Kolkata,pressure,120,1015,1030.3,1017,73.13,,,,,,,,
14-02-2019,IN,Kolkata,pressure,120,1012,1018,1015,22.39,,,,,,,,
05-01-2019,IN,Kolkata,pressure,120,1015,1020,1017,17.31,,,,,,,,
15-02-2019,IN,Kolkata,pressure,120,1012.5,1017,1014,16.87,,,,,,,,
21-02-2019,IN,Kolkata,pressure,120,1013,1018,1016,29.81,,,,,,,,
22-03-2019,IN,Kolkata,pressure,114,1006.5,1012,1010,22.01,,,,,,,,
28-03-2019,IN,Kolkata,pressure,120,1008,1014,1012,35.29,,,,,,,,
